epoch,phase,lr,train_loss,train_acc,synth_val_loss,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,real_val_acc_wP,real_val_acc_wR,real_val_acc_wN,real_val_acc_wB,real_val_acc_wQ,real_val_acc_wK,real_val_acc_bP,real_val_acc_bR,real_val_acc_bN,real_val_acc_bB,real_val_acc_bQ,real_val_acc_bK,real_val_acc_empty
11,B,0.0001,0.43356113533178964,0.8609375,0.27628774815573803,0.9137561274509803,0.8547259520400654,0.775,105.64869436598383,0.7769230769230769,0.7311827956989247,0.0,0.44545454545454544,0.18181818181818182,0.03636363636363636,0.6701030927835051,0.6909090909090909,0.23170731707317074,0.20202020202020202,0.7272727272727273,0.05454545454545454,0.9650565262076053
12,B,0.0001,0.40976598064104713,0.878125,0.2610988274971449,0.919781454248366,0.8274862717498432,0.7789772727272727,105.65794480894692,0.7769230769230769,0.7204301075268817,0.0,0.42727272727272725,0.2,0.03636363636363636,0.711340206185567,0.6727272727272727,0.2073170731707317,0.24242424242424243,0.7272727272727273,0.05454545454545454,0.9650565262076053
13,B,0.0001,0.35439411203066506,0.890625,0.2666402759480905,0.9189644607843137,0.8194584174589677,0.7860795454545455,105.78275737701915,0.7717948717948718,0.7634408602150538,0.0,0.45454545454545453,0.2,0.03636363636363636,0.6907216494845361,0.6818181818181818,0.23170731707317074,0.32323232323232326,0.7272727272727273,0.07272727272727272,0.9732785200411099
14,B,0.0001,0.3163439318537712,0.90625,0.27406362394248346,0.9174325980392157,0.8096772253513336,0.7886363636363637,113.39766679587774,0.7794871794871795,0.7741935483870968,0.0,0.4090909090909091,0.23636363636363636,0.03636363636363636,0.7087628865979382,0.7181818181818181,0.21951219512195122,0.3333333333333333,0.7272727272727273,0.07272727272727272,0.9717368961973278
15,B,0.0001,0.3103816012541453,0.9109375,0.2554032637622037,0.9237132352941176,0.817047905921936,0.7801136363636364,106.25655759405345,0.7666666666666667,0.8064516129032258,0.0,0.45454545454545453,0.21818181818181817,0.03636363636363636,0.6778350515463918,0.7,0.18292682926829268,0.3434343434343434,0.7454545454545455,0.05454545454545454,0.9635149023638232
16,B,0.0001,0.30197350134452183,0.9078125,0.2687658148580322,0.9191176470588235,0.8265514184128154,0.7767045454545455,105.16155320894904,0.7692307692307693,0.7741935483870968,0.0,0.45454545454545453,0.21818181818181817,0.03636363636363636,0.6288659793814433,0.6727272727272727,0.18292682926829268,0.35353535353535354,0.7454545454545455,0.07272727272727272,0.9686536485097637
17,B,0.0001,0.2701140008866787,0.9234375,0.28241359306121966,0.9161049836601307,0.7940303764560006,0.7866477272727272,105.3593329070136,0.7743589743589744,0.7849462365591398,0.0,0.43636363636363634,0.2545454545454545,0.03636363636363636,0.6829896907216495,0.7090909090909091,0.2073170731707317,0.35353535353535354,0.7272727272727273,0.09090909090909091,0.9712230215827338
18,B,0.0001,0.24682010859251022,0.9255208333333333,0.2737307006651475,0.919015522875817,0.7920475596731359,0.7894886363636363,105.00940055795945,0.7846153846153846,0.7741935483870968,0.0,0.4727272727272727,0.2727272727272727,0.03636363636363636,0.6958762886597938,0.7,0.24390243902439024,0.3434343434343434,0.7272727272727273,0.12727272727272726,0.9681397738951696
19,B,0.0001,0.2282031548519929,0.9328125,0.28486403603764143,0.916921977124183,0.7731040353124792,0.7948863636363637,105.3156634059269,0.7897435897435897,0.7526881720430108,0.0,0.45454545454545453,0.32727272727272727,0.03636363636363636,0.7036082474226805,0.6818181818181818,0.1951219512195122,0.3434343434343434,0.7272727272727273,0.14545454545454545,0.9784172661870504
20,B,0.0001,0.2224965400993824,0.9364583333333333,0.28355729055219614,0.919015522875817,0.7619412649761547,0.7977272727272727,105.50425032991916,0.8,0.7634408602150538,0.0,0.43636363636363634,0.34545454545454546,0.03636363636363636,0.7396907216494846,0.7181818181818181,0.15853658536585366,0.35353535353535354,0.7454545454545455,0.10909090909090909,0.973792394655704
21,B,0.0001,0.2042057844499747,0.9380208333333333,0.2789854993495871,0.9189133986928104,0.7805019405755129,0.7926136363636364,105.86591476993635,0.7948717948717948,0.7741935483870968,0.0,0.4636363636363636,0.32727272727272727,0.01818181818181818,0.7216494845360825,0.7181818181818181,0.14634146341463414,0.3434343434343434,0.7272727272727273,0.16363636363636364,0.9681397738951696
22,B,0.0001,0.21364380940794944,0.9385416666666667,0.27673047789512506,0.9195261437908496,0.7661783863197673,0.7951704545454545,105.75280008208938,0.8076923076923077,0.7526881720430108,0.0,0.42727272727272725,0.36363636363636365,0.01818181818181818,0.7139175257731959,0.7090909090909091,0.14634146341463414,0.36363636363636365,0.7272727272727273,0.16363636363636364,0.9732785200411099
23,B,0.0001,0.20191119089722634,0.9375,0.28327093532710684,0.9183517156862745,0.7513295915993777,0.7988636363636363,105.17367330915295,0.8,0.7741935483870968,0.0,0.44545454545454544,0.32727272727272727,0.03636363636363636,0.7242268041237113,0.7,0.17073170731707318,0.3838383838383838,0.7272727272727273,0.2,0.9753340184994861
24,B,0.0001,0.18736016725500423,0.9463541666666667,0.29413333383017504,0.9155433006535948,0.7722652397372506,0.7931818181818182,105.51601669704542,0.7897435897435897,0.8279569892473119,0.0,0.4818181818181818,0.36363636363636365,0.01818181818181818,0.6752577319587629,0.6909090909090909,0.17073170731707318,0.3434343434343434,0.7272727272727273,0.14545454545454545,0.9758478931140802
25,B,0.0001,0.1778651475906372,0.9453125,0.29773723683472164,0.9135518790849673,0.7783122458241203,0.7957386363636364,105.40162187395617,0.7794871794871795,0.8064516129032258,0.0,0.5181818181818182,0.36363636363636365,0.01818181818181818,0.6494845360824743,0.7,0.17073170731707318,0.36363636363636365,0.7272727272727273,0.2,0.9835560123329907
26,B,0.0001,0.1632243166367213,0.9494791666666667,0.30114730888235025,0.912939133986928,0.7825542428276756,0.7923295454545455,105.14863138017245,0.7846153846153846,0.8064516129032258,0.0,0.509090909090909,0.36363636363636365,0.01818181818181818,0.6443298969072165,0.6909090909090909,0.12195121951219512,0.3939393939393939,0.7636363636363637,0.2,0.9779033915724563
27,B,0.0001,0.16524051030476888,0.9484375,0.28251598844779474,0.9201899509803921,0.761065796288577,0.8036931818181818,105.0132774899248,0.7974358974358975,0.8064516129032258,0.0,0.5272727272727272,0.36363636363636365,0.01818181818181818,0.7087628865979382,0.7090909090909091,0.12195121951219512,0.40404040404040403,0.7636363636363637,0.18181818181818182,0.9809866392600206
28,B,0.0001,0.15217595398426056,0.953125,0.3133051056609629,0.909875408496732,0.7838235085660761,0.7948863636363637,105.24922338896431,0.7717948717948718,0.8279569892473119,0.0,0.5,0.4,0.01818181818181818,0.6469072164948454,0.6909090909090909,0.2073170731707317,0.32323232323232326,0.7454545454545455,0.2,0.9835560123329907
29,B,0.0001,0.14276247049371402,0.9609375,0.29496564483574406,0.9155433006535948,0.7730323981155048,0.8005681818181818,104.6039191908203,0.782051282051282,0.8172043010752689,0.0,0.5181818181818182,0.4,0.01818181818181818,0.6829896907216495,0.7090909090909091,0.15853658536585366,0.37373737373737376,0.7818181818181819,0.23636363636363636,0.9804727646454265
30,B,0.0001,0.1458727811773618,0.9536458333333333,0.3079019609741331,0.9135008169934641,0.7594703484665264,0.7997159090909091,105.77017944701947,0.7974358974358975,0.8064516129032258,0.0,0.4818181818181818,0.4,0.01818181818181818,0.6932989690721649,0.7181818181818181,0.12195121951219512,0.40404040404040403,0.7818181818181819,0.18181818181818182,0.9773895169578622
