epoch,phase,lr,train_loss,train_acc,synth_val_loss,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,real_val_acc_wP,real_val_acc_wR,real_val_acc_wN,real_val_acc_wB,real_val_acc_wQ,real_val_acc_wK,real_val_acc_bP,real_val_acc_bR,real_val_acc_bN,real_val_acc_bB,real_val_acc_bQ,real_val_acc_bK,real_val_acc_empty
1,A,0.001,0.7703656848093304,0.8313660990712074,0.2818242563482593,0.8845996732026143,0.7835784939202395,0.7738636363636363,219.93294338369742,0.7666666666666667,0.5591397849462365,0.15853658536585366,0.15454545454545454,0.0,0.10909090909090909,0.8608247422680413,0.6363636363636364,0.024390243902439025,0.23232323232323232,0.36363636363636365,0.5272727272727272,0.9552929085303186
2,A,0.001,0.4129747374000564,0.8848684210526315,0.29994338879885235,0.8772977941176471,0.6124919782985341,0.8153409090909091,117.60182730713859,0.8538461538461538,0.7419354838709677,0.14634146341463414,0.20909090909090908,0.0,0.509090909090909,0.8943298969072165,0.5727272727272728,0.21951219512195122,0.3333333333333333,0.3090909090909091,0.8363636363636363,0.9665981500513875
3,A,0.001,0.33378889418607893,0.9022832817337462,0.347988081158571,0.8625408496732027,0.5596817032857375,0.8392045454545455,117.37199982302263,0.8717948717948718,0.9032258064516129,0.3780487804878049,0.2909090909090909,0.01818181818181818,0.7272727272727273,0.8814432989690721,0.7181818181818181,0.4878048780487805,0.32323232323232326,0.03636363636363636,0.9272727272727272,0.9660842754367934
4,A,0.001,0.29852381994480687,0.9105553405572755,0.4346118079486236,0.8357843137254902,0.5306783150542866,0.846875,117.29076312109828,0.8717948717948718,0.8494623655913979,0.43902439024390244,0.23636363636363636,0.0,0.9454545454545454,0.8582474226804123,0.7272727272727273,0.6463414634146342,0.2828282828282828,0.09090909090909091,0.9272727272727272,0.9753340184994861
5,A,0.001,0.27805746203697873,0.9171826625386997,0.40614403796449206,0.8464052287581699,0.5222928063435988,0.8460227272727273,118.51879173517227,0.8769230769230769,0.9247311827956989,0.47560975609756095,0.35454545454545455,0.07272727272727272,0.9272727272727272,0.8350515463917526,0.6181818181818182,0.6097560975609756,0.3939393939393939,0.01818181818181818,0.8909090909090909,0.9691675231243576
6,B,0.0001,0.22292334348793738,0.9343072755417957,0.3752812594905788,0.8672385620915033,0.3836150448430668,0.8917613636363636,118.45746255433187,0.9333333333333333,0.978494623655914,0.4268292682926829,0.44545454545454544,0.2545454545454545,0.9454545454545454,0.9252577319587629,0.8545454545454545,0.7804878048780488,0.36363636363636365,0.07272727272727272,0.9090909090909091,0.9902363823227133
7,B,0.0001,0.1687717051375023,0.9527380030959752,0.3529333537018377,0.8779105392156863,0.34485216655514456,0.9034090909090909,117.98663615994155,0.9487179487179487,0.9354838709677419,0.47560975609756095,0.5272727272727272,0.32727272727272727,0.9636363636363636,0.9149484536082474,0.8272727272727273,0.8414634146341463,0.45454545454545453,0.09090909090909091,0.9272727272727272,0.9964028776978417
8,B,0.0001,0.14303390631573304,0.9598006965944272,0.3717082342242493,0.8748978758169934,0.31712758378549055,0.9133522727272727,117.89015651866794,0.9564102564102565,0.978494623655914,0.4878048780487805,0.6272727272727273,0.34545454545454546,0.9454545454545454,0.9278350515463918,0.8272727272727273,0.9390243902439024,0.45454545454545453,0.09090909090909091,0.9090909090909091,0.9984583761562179
9,B,0.0001,0.1238612256217575,0.9658958978328174,0.371252562388096,0.8817912581699346,0.30531332127072597,0.9173295454545455,118.07796197198331,0.9641025641025641,0.9247311827956989,0.4878048780487805,0.6272727272727273,0.32727272727272727,0.9818181818181818,0.9510309278350515,0.8545454545454545,0.9146341463414634,0.47474747474747475,0.14545454545454545,0.9090909090909091,0.9984583761562179
10,B,0.0001,0.10658955323184054,0.9711203560371517,0.3451163322463924,0.8875102124183006,0.2943042746999047,0.9190340909090909,117.72460969816893,0.9717948717948718,0.9354838709677419,0.5,0.7363636363636363,0.3090909090909091,0.9454545454545454,0.9355670103092784,0.7909090909090909,0.9390243902439024,0.5050505050505051,0.14545454545454545,0.9090909090909091,0.9984583761562179
11,B,0.0001,0.09611029249699585,0.9744582043343654,0.377075951497734,0.8836805555555556,0.27269227992404593,0.925,117.78569357702509,0.9743589743589743,0.9139784946236559,0.5121951219512195,0.7636363636363637,0.38181818181818183,0.9636363636363636,0.9536082474226805,0.8272727272727273,0.9512195121951219,0.5151515151515151,0.14545454545454545,0.9090909090909091,0.9984583761562179
