run,strength,game7_persq,ho_persq,ho_piece_only,empty,wN,wB,wQ,wK,bN,bB,bQ,bK,over_correction
s00,0.0,0.9386363636363636,0.9084689349112426,0.7556109725685786,0.9985307081986482,0.34911242603550297,0.3333333333333333,0.14393939393939395,0.44970414201183434,0.30994152046783624,0.37142857142857144,0.24427480916030533,0.3727810650887574,False
s03,0.3,0.9389204545454546,0.9067122781065089,0.7518703241895262,0.9979429914781075,0.3609467455621302,0.3160919540229885,0.1893939393939394,0.4378698224852071,0.2982456140350877,0.32,0.24427480916030533,0.3609467455621302,False
s05,0.5,0.9409090909090909,0.9051405325443787,0.7471321695760599,0.9982368498383779,0.41420118343195267,0.3275862068965517,0.22727272727272727,0.5207100591715976,0.2807017543859649,0.3142857142857143,0.22137404580152673,0.34911242603550297,False
