row,resnet_per_sq,convnext_per_sq,dino_per_sq,resnet_piece,convnext_piece,dino_piece,dino_forget_delta,dino_game7_per_sq,selected_epoch
synth-only (zero-shot),0.5138,0.796,0.7800480769230769,,0.4621,0.5478802992518703,0.35263480392156854,0.696875,10
real fine-tune (Stage 3),0.9085,0.9468,0.9587647928994083,0.7556,0.8589,0.8907730673316708,-0.021395016339869177,0.9795454545454545,7
combined (Stage 5),0.916,0.9557,0.9760539940828402,0.7748,0.8828,0.9376558603491272,0.35258374183006536,0.9872159090909091,19
linear-probe (frozen DINO),,,0.7556397928994083,,,0.41970074812967584,0.22605187908496727,0.7713068181818182,18
