epoch,phase,lr,train_loss,train_acc,synth_val_loss,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,real_val_acc_wP,real_val_acc_wR,real_val_acc_wN,real_val_acc_wB,real_val_acc_wQ,real_val_acc_wK,real_val_acc_bP,real_val_acc_bR,real_val_acc_bN,real_val_acc_bB,real_val_acc_bQ,real_val_acc_bK,real_val_acc_empty
1,A,0.001,0.6133794804851657,0.8574901135580307,0.03484112884715394,0.9902982026143791,0.8102307942780581,0.7613636363636364,281.28801681194454,0.6512820512820513,0.5376344086021505,0.13414634146341464,0.37272727272727274,0.0,0.05454545454545454,0.8737113402061856,0.6818181818181818,0.012195121951219513,0.1717171717171717,0.36363636363636365,0.36363636363636365,0.9501541623843782
2,A,0.001,0.35089033940047476,0.9010630192649567,0.039983155762813256,0.9898897058823529,0.6143166493285787,0.8258522727272727,144.04440711205825,0.8025641025641026,0.8494623655913979,0.15853658536585366,0.33636363636363636,0.0,0.5454545454545454,0.8917525773195877,0.7545454545454545,0.21951219512195122,0.24242424242424243,0.16363636363636364,0.9272727272727272,0.9784172661870504
3,A,0.001,0.2997206533640246,0.9106047962848747,0.05577748715025342,0.9868259803921569,0.5399405701593919,0.846875,143.63075343309902,0.8461538461538461,0.9032258064516129,0.2926829268292683,0.4090909090909091,0.0,0.7636363636363637,0.8711340206185567,0.7727272727272727,0.3902439024390244,0.31313131313131315,0.18181818181818182,0.9090909090909091,0.9815005138746146
4,A,0.001,0.2751440141108508,0.9189493161121793,0.05504600350057183,0.9868770424836601,0.515166655995629,0.852840909090909,143.44503764109686,0.8564102564102564,0.9139784946236559,0.35365853658536583,0.32727272727272727,0.01818181818181818,0.8727272727272727,0.8814432989690721,0.7181818181818181,0.5609756097560976,0.32323232323232326,0.09090909090909091,0.9272727272727272,0.9835560123329907
5,A,0.001,0.2543496491535955,0.9248993215542575,0.061442782995869326,0.9859068627450981,0.49094255729155106,0.8644886363636364,143.4452482610941,0.8487179487179487,0.9354838709677419,0.4268292682926829,0.45454545454545453,0.03636363636363636,0.8545454545454545,0.9175257731958762,0.7545454545454545,0.6219512195121951,0.3333333333333333,0.03636363636363636,0.9272727272727272,0.9840698869475848
6,B,0.0001,0.21097646969105066,0.9375612233791677,0.03561575410680638,0.9913194444444444,0.35795335038141773,0.9019886363636364,144.18418869003654,0.9333333333333333,0.956989247311828,0.4634146341463415,0.5909090909090909,0.21818181818181817,0.9454545454545454,0.9278350515463918,0.8181818181818182,0.8658536585365854,0.3434343434343434,0.12727272727272726,0.9090909090909091,0.9984583761562179
7,B,0.0001,0.1539222619352041,0.9558103254362733,0.02763232090312598,0.9941278594771242,0.31870239187370647,0.9105113636363636,147.5489524770528,0.958974358974359,0.9139784946236559,0.47560975609756095,0.6909090909090909,0.10909090909090909,0.9272727272727272,0.9407216494845361,0.8545454545454545,0.926829268292683,0.40404040404040403,0.12727272727272726,0.8909090909090909,0.9984583761562179
8,B,0.0001,0.1291312236191264,0.9631389906759061,0.02500226085220336,0.9936172385620915,0.28958227295767175,0.9181818181818182,144.04730052803643,0.9666666666666667,0.946236559139785,0.524390243902439,0.7090909090909091,0.18181818181818182,0.9636363636363636,0.9536082474226805,0.8727272727272727,0.926829268292683,0.41414141414141414,0.14545454545454545,0.9090909090909091,0.9979445015416238
9,B,0.0001,0.11358905869744207,0.9683996662192069,0.02314953171431994,0.9936683006535948,0.2733420044183731,0.9264204545454545,143.7391398048494,0.9794871794871794,0.956989247311828,0.5121951219512195,0.7181818181818181,0.5636363636363636,0.9818181818181818,0.9587628865979382,0.8181818181818182,0.9390243902439024,0.43434343434343436,0.16363636363636364,0.9090909090909091,0.9984583761562179
10,B,0.0001,0.10195605743953358,0.9715923520661757,0.01829252533235715,0.9956086601307189,0.2676207500425252,0.9306818181818182,143.73256092797965,0.9769230769230769,0.956989247311828,0.524390243902439,0.7909090909090909,0.6,1.0,0.9587628865979382,0.8090909090909091,0.975609756097561,0.45454545454545453,0.16363636363636364,0.9090909090909091,0.9984583761562179
