epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game7_acc_wP,game7_acc_wR,game7_acc_wN,game7_acc_wB,game7_acc_wQ,game7_acc_wK,game7_acc_bP,game7_acc_bR,game7_acc_bN,game7_acc_bB,game7_acc_bQ,game7_acc_bK,game7_acc_empty
1,A,0.0001,0.8826511107254028,0.7445,0.7526552287581699,,1.0886900121515448,0.6551136363636364,583.7168791738804,0.8,0.15053763440860216,0.36585365853658536,0.03636363636363636,0.0,0.41818181818181815,0.6907216494845361,0.36363636363636365,0.15853658536585366,0.0707070707070707,0.0,0.5818181818181818,0.803186022610483
2,A,0.0001,0.6543325279808044,0.79114,0.7772671568627451,,0.9357456640763716,0.7059659090909091,380.4753595159855,0.8076923076923077,0.15053763440860216,0.47560975609756095,0.24545454545454545,0.0,0.6909090909090909,0.6443298969072165,0.4818181818181818,0.5,0.29292929292929293,0.0,0.8727272727272727,0.8381294964028777
3,B,2.977971241867702e-05,0.10760997786961496,0.96838,0.9903492647058824,,0.13023955754258415,0.9602272727272727,565.8718772020657,0.9769230769230769,0.9139784946236559,0.9390243902439024,0.9727272727272728,0.7272727272727273,1.0,0.9355670103092784,0.9,0.975609756097561,0.8888888888888888,0.2,0.9272727272727272,0.9984583761562179
4,B,2.9125543001395675e-05,0.0305213965745084,0.99155,0.9946384803921569,,0.1630703404545784,0.9576704545454545,566.9323437530547,0.9923076923076923,0.978494623655914,0.6341463414634146,0.9636363636363636,0.9454545454545454,0.9818181818181818,0.979381443298969,0.9454545454545454,0.975609756097561,0.6464646464646465,0.12727272727272726,0.9272727272727272,0.9984583761562179
5,B,2.8057368354874366e-05,0.020161099513624794,0.99429,0.995046977124183,,0.13798650770702145,0.9684659090909091,565.7773490950931,0.9923076923076923,1.0,0.8292682926829268,0.7363636363636363,0.9636363636363636,0.9818181818181818,0.979381443298969,0.9545454545454546,0.975609756097561,0.7171717171717171,0.8,0.9454545454545454,0.9974306269270298
6,B,2.6607644425225183e-05,0.013929858795166948,0.99593,0.996374591503268,,0.10883776865137572,0.9784090909090909,567.464855351951,0.9923076923076923,1.0,0.975609756097561,0.9636363636363636,0.9454545454545454,0.9818181818181818,0.9690721649484536,0.9545454545454546,0.975609756097561,0.7878787878787878,0.7454545454545455,0.9454545454545454,0.9969167523124358
7,B,2.4820420340454822e-05,0.011941572756706736,0.99635,0.9967830882352942,,0.16279108288951896,0.9659090909090909,567.012037742883,0.9923076923076923,1.0,0.9512195121951219,0.8818181818181818,0.9272727272727272,0.9818181818181818,0.979381443298969,0.9545454545454546,0.9878048780487805,0.6060606060606061,0.4,0.9272727272727272,0.9974306269270298
8,B,2.275e-05,0.010321031696123537,0.99696,0.9978553921568627,,0.12966182302175597,0.9744318181818182,566.8025290439837,0.9923076923076923,1.0,0.9512195121951219,0.8909090909090909,0.9636363636363636,0.9818181818181818,0.979381443298969,0.9454545454545454,0.9878048780487805,0.7171717171717171,0.6727272727272727,0.9454545454545454,0.9979445015416238
9,B,2.04592920782222e-05,0.008515505308413412,0.99738,0.998672385620915,,0.10452996028947051,0.9806818181818182,566.2677915818058,0.9923076923076923,1.0,0.9390243902439024,0.9454545454545454,0.9090909090909091,0.9818181818181818,0.979381443298969,0.9363636363636364,0.9878048780487805,0.8888888888888888,0.7454545454545455,0.9454545454545454,0.9979445015416238
10,B,1.8017898576170493e-05,0.006642930768911029,0.99806,0.999234068627451,,0.11444386460246857,0.9761363636363637,568.0624625820201,0.9923076923076923,1.0,0.9390243902439024,0.8909090909090909,0.9454545454545454,0.9818181818181818,0.979381443298969,0.9181818181818182,0.975609756097561,0.797979797979798,0.7818181818181819,0.9454545454545454,0.9969167523124358
11,B,1.55e-05,0.005813864474525908,0.99829,0.9994383169934641,,0.13953057118289341,0.9710227272727273,567.2482666030992,0.9923076923076923,1.0,0.9390243902439024,0.9181818181818182,0.9636363636363636,0.9818181818181818,0.979381443298969,0.9454545454545454,0.9878048780487805,0.8383838383838383,0.2,0.9454545454545454,0.9979445015416238
12,B,1.2982101423829512e-05,0.0060238620713970155,0.99825,0.9992851307189542,,0.1398209790402854,0.9707386363636363,567.293615328148,0.9923076923076923,1.0,0.9024390243902439,0.9181818181818182,0.9636363636363636,0.9818181818181818,0.979381443298969,0.9454545454545454,0.9878048780487805,0.696969696969697,0.5272727272727272,0.9454545454545454,0.9969167523124358
13,B,1.054070792177781e-05,0.004450308361142525,0.99858,0.9998468137254902,,0.15433518680431668,0.9732954545454545,569.067190103,0.9923076923076923,1.0,0.926829268292683,0.9454545454545454,0.9636363636363636,0.9818181818181818,0.979381443298969,0.9545454545454546,0.975609756097561,0.7171717171717171,0.5454545454545454,0.9272727272727272,0.9979445015416238
14,B,8.250000000000004e-06,0.0035420074698195095,0.99909,0.9997446895424836,,0.1381229833281726,0.9732954545454545,569.7390135920141,0.9923076923076923,1.0,0.926829268292683,0.9454545454545454,0.9818181818181818,0.9818181818181818,0.979381443298969,0.9636363636363636,0.9878048780487805,0.797979797979798,0.34545454545454546,0.9454545454545454,0.9974306269270298
15,B,6.179579659545179e-06,0.003016651016540127,0.99901,0.9997446895424836,,0.15392377822109582,0.9732954545454545,568.5065279819537,0.9923076923076923,1.0,0.9146341463414634,0.9090909090909091,0.9636363636363636,0.9818181818181818,0.979381443298969,0.9454545454545454,0.9878048780487805,0.6565656565656566,0.7454545454545455,0.9454545454545454,0.9974306269270298

