epoch,phase,lr,train_loss,train_acc,synth_val_loss,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,real_val_acc_wP,real_val_acc_wR,real_val_acc_wN,real_val_acc_wB,real_val_acc_wQ,real_val_acc_wK,real_val_acc_bP,real_val_acc_bR,real_val_acc_bN,real_val_acc_bB,real_val_acc_bQ,real_val_acc_bK,real_val_acc_empty
1,A,0.001,0.6365917307950395,0.8357681888544891,0.002273275505739863,0.9994893790849673,0.7684633921493184,0.7650568181818181,223.82376213907264,0.5974358974358974,0.5376344086021505,0.08536585365853659,0.20909090909090908,0.01818181818181818,0.09090909090909091,0.9123711340206185,0.7,0.0,0.29292929292929293,0.09090909090909091,0.32727272727272727,0.9717368961973278
2,A,0.001,0.42554250827791523,0.8766931114551083,0.004694439344389822,0.9992851307189542,0.6073024430058219,0.819034090909091,119.03835949790664,0.8666666666666667,0.4838709677419355,0.15853658536585366,0.2545454545454545,0.01818181818181818,0.36363636363636365,0.9226804123711341,0.7272727272727273,0.024390243902439025,0.3434343434343434,0.07272727272727272,0.9090909090909091,0.9815005138746146
3,A,0.001,0.35597570000602735,0.8939144736842105,0.007581714969573487,0.998876633986928,0.5471032305197282,0.8431818181818181,117.89998875604942,0.9205128205128205,0.6881720430107527,0.35365853658536583,0.3181818181818182,0.03636363636363636,0.41818181818181815,0.9123711340206185,0.8545454545454545,0.07317073170731707,0.37373737373737376,0.0,0.9272727272727272,0.9835560123329907
4,A,0.001,0.3185643382347405,0.9046536377708978,0.01303174046078983,0.9970894607843137,0.5142867697910829,0.8596590909090909,118.13671041582711,0.9051282051282051,0.6021505376344086,0.3170731707317073,0.4818181818181818,0.0,0.8181818181818182,0.9329896907216495,0.8545454545454545,0.18292682926829268,0.43434343434343436,0.0,0.9272727272727272,0.9907502569373073
5,A,0.001,0.29593903642874386,0.9124903250773994,0.018110192114535986,0.9956597222222222,0.49522572593255476,0.8627840909090909,117.81156116188504,0.9282051282051282,0.7526881720430108,0.4268292682926829,0.2909090909090909,0.0,0.7818181818181819,0.9149484536082474,0.8454545454545455,0.12195121951219512,0.5959595959595959,0.0,0.9090909090909091,0.9907502569373073
6,B,0.0001,0.22031626074168334,0.932420665634675,0.05008049658994233,0.9848345588235294,0.34536425362933765,0.8980113636363637,118.44238849310204,0.9666666666666667,0.8924731182795699,0.573170731707317,0.44545454545454544,0.14545454545454545,0.8363636363636363,0.9201030927835051,0.8727272727272727,0.6341463414634146,0.5252525252525253,0.07272727272727272,0.9272727272727272,0.9964028776978417
7,B,0.0001,0.14670977199698104,0.9581559597523219,0.07190879462309656,0.9791666666666666,0.329575408317826,0.9008522727272728,118.24378976784647,0.9743589743589743,0.9139784946236559,0.5121951219512195,0.33636363636363636,0.01818181818181818,0.9636363636363636,0.9432989690721649,0.8727272727272727,0.6219512195121951,0.6161616161616161,0.10909090909090909,0.9272727272727272,0.9979445015416238
8,B,0.0001,0.1188538111342642,0.9664763931888545,0.07978474885549433,0.9771752450980392,0.29049107269807295,0.9178977272727272,118.16024582996033,0.9743589743589743,0.9139784946236559,0.5853658536585366,0.6272727272727273,0.09090909090909091,0.9454545454545454,0.9381443298969072,0.8636363636363636,0.7926829268292683,0.6868686868686869,0.12727272727272726,0.9272727272727272,0.9979445015416238
9,B,0.0001,0.09933174999961313,0.9724264705882353,0.10712634586977157,0.9697201797385621,0.3079489527778192,0.909375,118.54076856793836,0.9794871794871794,0.9354838709677419,0.5,0.35454545454545455,0.03636363636363636,0.9636363636363636,0.9484536082474226,0.8727272727272727,0.8658536585365854,0.6363636363636364,0.12727272727272726,0.9090909090909091,0.9979445015416238
10,B,0.0001,0.0852031181371791,0.9757159442724458,0.11492800275951903,0.9690053104575164,0.29455784857273104,0.9173295454545455,118.2407990267966,0.9769230769230769,0.978494623655914,0.5853658536585366,0.5181818181818182,0.14545454545454545,0.9636363636363636,0.9149484536082474,0.8636363636363636,0.7682926829268293,0.7777777777777778,0.12727272727272726,0.9454545454545454,0.9979445015416238
11,B,0.0001,0.07457004351131964,0.9786184210526315,0.1590116058550075,0.9590482026143791,0.2971467726609924,0.9176136363636364,118.2540399460122,0.9794871794871794,0.978494623655914,0.5365853658536586,0.4909090909090909,0.2,0.9454545454545454,0.9149484536082474,0.8727272727272727,0.926829268292683,0.7272727272727273,0.09090909090909091,0.9454545454545454,0.9969167523124358
12,B,0.0001,0.06540851094024747,0.9821497678018576,0.1500409534769787,0.962265114379085,0.2730629847808318,0.9269886363636364,118.42519646813162,0.9794871794871794,0.978494623655914,0.6219512195121951,0.6,0.2545454545454545,0.9272727272727272,0.9355670103092784,0.8727272727272727,0.9512195121951219,0.7272727272727273,0.12727272727272726,0.9272727272727272,0.9974306269270298
13,B,0.0001,0.05976648231962517,0.9834558823529411,0.18238259193463116,0.9532271241830066,0.27279770997437564,0.9255681818181818,118.1752480759751,0.9794871794871794,0.956989247311828,0.5609756097560976,0.5545454545454546,0.34545454545454546,0.9636363636363636,0.9149484536082474,0.8727272727272727,0.9634146341463414,0.797979797979798,0.10909090909090909,0.9272727272727272,0.9979445015416238
14,B,0.0001,0.052580527576687096,0.9859229876160991,0.19947470410755877,0.9507250816993464,0.2806407151574438,0.9247159090909091,118.2117000380531,0.9794871794871794,0.967741935483871,0.5975609756097561,0.5,0.3090909090909091,0.9454545454545454,0.9664948453608248,0.8727272727272727,0.9512195121951219,0.6161616161616161,0.12727272727272726,0.9272727272727272,0.9979445015416238
15,B,0.0001,0.04946613775915106,0.985874613003096,0.18037019472103566,0.9536356209150327,0.24962810325351628,0.9346590909090909,118.43146448396146,0.9769230769230769,0.9354838709677419,0.6585365853658537,0.6818181818181818,0.36363636363636365,0.9454545454545454,0.9484536082474226,0.8727272727272727,0.926829268292683,0.8181818181818182,0.12727272727272726,0.9454545454545454,0.9974306269270298
16,B,0.0001,0.04550339241660612,0.9876644736842105,0.18080845125189987,0.9554738562091504,0.2692809309471737,0.928125,118.4020840539597,0.9794871794871794,0.967741935483871,0.573170731707317,0.6090909090909091,0.3090909090909091,0.9454545454545454,0.9484536082474226,0.9,0.9512195121951219,0.696969696969697,0.09090909090909091,0.9454545454545454,0.9974306269270298
17,B,0.0001,0.040832221099941765,0.9885835913312694,0.19030307019372877,0.9522058823529411,0.2931580764326182,0.921875,118.42357057682239,0.9769230769230769,0.967741935483871,0.5487804878048781,0.6909090909090909,0.32727272727272727,0.9272727272727272,0.8685567010309279,0.8636363636363636,0.926829268292683,0.7575757575757576,0.12727272727272726,0.9454545454545454,0.9979445015416238
18,B,0.0001,0.039506147068856,0.9893575851393189,0.2600580322384238,0.9396446078431373,0.26290096078406683,0.9338068181818182,118.08657878707163,0.9794871794871794,0.978494623655914,0.6341463414634146,0.7,0.32727272727272727,0.9454545454545454,0.9355670103092784,0.8636363636363636,0.9634146341463414,0.7878787878787878,0.14545454545454545,0.9090909090909091,0.9979445015416238
19,B,0.0001,0.035780712274110796,0.9898897058823529,0.2539800220576961,0.9430657679738562,0.27618710405447267,0.9278409090909091,118.32264654384926,0.9794871794871794,0.956989247311828,0.573170731707317,0.5818181818181818,0.34545454545454546,0.9454545454545454,0.9639175257731959,0.8818181818181818,0.9512195121951219,0.6666666666666666,0.12727272727272726,0.9272727272727272,0.9969167523124358
20,B,0.0001,0.03375568890400972,0.9910990712074303,0.24933233081661407,0.9440359477124183,0.29848766773939134,0.9264204545454545,118.06627684598789,0.9794871794871794,0.978494623655914,0.524390243902439,0.5818181818181818,0.2,0.9636363636363636,0.9536082474226805,0.8727272727272727,0.9634146341463414,0.7474747474747475,0.14545454545454545,0.9090909090909091,0.9969167523124358
