epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game7_acc_wP,game7_acc_wR,game7_acc_wN,game7_acc_wB,game7_acc_wQ,game7_acc_wK,game7_acc_bP,game7_acc_bR,game7_acc_bN,game7_acc_bB,game7_acc_bQ,game7_acc_bK,game7_acc_empty
1,A,0.0001,0.4618845597546717,0.8586417376336293,0.8955269607843137,0.8927406199021207,1.7357905041087758,0.44119318181818185,1546.3318222137168,0.20512820512820512,0.15053763440860216,0.2926829268292683,0.2,0.0,0.2909090909090909,0.03608247422680412,0.7909090909090909,0.2926829268292683,0.31313131313131315,0.0,0.0,0.6377183967112025
2,B,9.728616793536588e-06,0.032148227887979657,0.989751313643776,0.9982638888888888,0.9979353588907015,1.4770965814590453,0.7363636363636363,1569.899078682065,0.6692307692307692,0.6774193548387096,0.0,0.9545454545454546,0.03636363636363636,0.0,0.8092783505154639,0.9363636363636364,0.012195121951219513,0.43434343434343436,0.7272727272727273,0.0,0.8530318602261048
3,B,8.9471999940354e-06,0.011063480500724395,0.996563009603189,0.9981617647058824,0.998062805872757,1.5225167231126264,0.6727272727272727,1550.9760257587768,0.7282051282051282,0.7526881720430108,0.024390243902439025,0.7545454545454545,0.03636363636363636,0.0,0.4072164948453608,0.9545454545454546,0.012195121951219513,0.0707070707070707,0.21818181818181817,0.0,0.8448098663926003
4,B,7.75e-06,0.007007405116145691,0.9977775638702664,0.9996425653594772,0.9994902120717781,1.4175210790200667,0.7943181818181818,1548.5595860737376,0.764102564102564,0.45161290322580644,0.0,0.8636363636363636,0.05454545454545454,0.0,0.7010309278350515,0.7181818181818181,0.012195121951219513,0.8383838383838383,0.6909090909090909,0.0,0.9686536485097637
5,B,6.281416799501188e-06,0.004803766168330333,0.9984966705924987,0.9996425653594772,0.9994137438825449,1.493213491006331,0.7289772727272728,1547.6582873999141,0.3871794871794872,0.3763440860215054,0.0,0.8,0.0,0.01818181818181818,0.7422680412371134,0.8272727272727273,0.04878048780487805,0.42424242424242425,0.5272727272727272,0.0,0.9439876670092497
6,B,4.7185832004988135e-06,0.002761213825447055,0.9991025321616235,0.9997446895424836,0.9995666802610114,1.6341475638476286,0.7732954545454546,1548.3845614860766,0.7128205128205128,0.17204301075268819,0.012195121951219513,0.5818181818181818,0.03636363636363636,0.0,0.7731958762886598,0.4727272727272727,0.04878048780487805,0.48484848484848486,0.5818181818181818,0.0,0.9892086330935251
7,B,3.250000000000001e-06,0.0017390618262070024,0.9994082940750136,0.9996936274509803,0.9997451060358891,1.4803131146864457,0.8011363636363636,1549.691799012944,0.717948717948718,0.7634408602150538,0.0,0.5363636363636364,0.05454545454545454,0.0,0.845360824742268,0.7454545454545455,0.024390243902439025,0.46464646464646464,0.6727272727272727,0.0,0.9825282631038027
8,B,2.0528000059645994e-06,0.0010786566431351668,0.9997055626019207,0.9999489379084967,0.9998470636215334,1.6168278325687755,0.7085227272727272,1548.4343101112172,0.7692307692307693,0.46236559139784944,0.0,0.6090909090909091,0.01818181818181818,0.0,0.4587628865979381,0.7727272727272727,0.036585365853658534,0.26262626262626265,0.4727272727272727,0.0,0.906988694758479
9,B,1.2713832064634127e-06,0.00047988246252337013,0.9998301322703388,0.9998468137254902,0.9997705954323002,2.147230536287481,0.6860795454545454,1550.8431612667628,0.6333333333333333,0.4838709677419355,0.0,0.45454545454545453,0.03636363636363636,0.0,0.4484536082474227,0.5636363636363636,0.0975609756097561,0.030303030303030304,0.6909090909090909,0.0,0.9177800616649537
10,B,1.0000000000000002e-06,0.00023273101226441284,0.9999150661351695,0.9998978758169934,0.9999490212071778,2.258244848251343,0.696875,1548.615022760816,0.558974358974359,0.3548387096774194,0.0,0.7181818181818181,0.0,0.0,0.5412371134020618,0.5545454545454546,0.024390243902439025,0.6161616161616161,0.5818181818181818,0.0,0.9028776978417267
