epoch,phase,lr,train_loss,train_acc,synth_val_loss,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,real_val_acc_wP,real_val_acc_wR,real_val_acc_wN,real_val_acc_wB,real_val_acc_wQ,real_val_acc_wK,real_val_acc_bP,real_val_acc_bR,real_val_acc_bN,real_val_acc_bB,real_val_acc_bQ,real_val_acc_bK,real_val_acc_empty
1,combined,0.0001,0.6271160273742675,0.82354,0.4095415525333165,0.8756127450980392,0.6968632876873017,0.7994318181818182,502.94282294390723,0.9615384615384616,0.5483870967741935,0.07317073170731707,0.0,0.0,0.6727272727272727,0.8324742268041238,0.32727272727272727,0.0,0.1111111111111111,0.0,0.6545454545454545,0.9964028776978417
2,combined,0.0001,0.3322146891927719,0.89735,0.2820727866556909,0.9057904411764706,0.45734862197529186,0.85625,372.40201355004683,0.982051282051282,0.8817204301075269,0.24390243902439024,0.05454545454545454,0.0,0.8909090909090909,0.9432989690721649,0.7090909090909091,0.036585365853658534,0.36363636363636365,0.03636363636363636,0.8727272727272727,0.9974306269270298
3,combined,0.0001,0.24801751022815705,0.92232,0.22268795380307957,0.9243770424836601,0.38397439311851156,0.8761363636363636,371.7294591339305,0.9794871794871794,0.9032258064516129,0.4634146341463415,0.2,0.0,0.9272727272727272,0.9226804123711341,0.7636363636363637,0.2073170731707317,0.5555555555555556,0.07272727272727272,0.8727272727272727,0.9974306269270298
4,combined,0.0001,0.20801576906442643,0.93495,0.181797851875327,0.9405637254901961,0.33011148897084325,0.9002840909090909,371.90304405009374,0.982051282051282,0.946236559139785,0.47560975609756095,0.6818181818181818,0.0,0.9272727272727272,0.9484536082474226,0.7272727272727273,0.4024390243902439,0.5757575757575758,0.09090909090909091,0.8909090909090909,0.9974306269270298
5,combined,0.0001,0.17057271504640578,0.94754,0.15253991180775212,0.9512357026143791,0.29854525977914986,0.9073863636363636,371.439193631988,0.982051282051282,0.967741935483871,0.47560975609756095,0.7272727272727273,0.0,0.9636363636363636,0.9484536082474226,0.7454545454545455,0.5,0.6161616161616161,0.10909090909090909,0.9090909090909091,0.9974306269270298
6,combined,0.0001,0.1496673717844486,0.95396,0.12947272315767466,0.9584865196078431,0.26915410337123,0.9144886363636363,371.51705268700607,0.9846153846153847,0.967741935483871,0.5121951219512195,0.7727272727272727,0.0,0.9636363636363636,0.9561855670103093,0.7363636363636363,0.6219512195121951,0.6363636363636364,0.14545454545454545,0.9090909090909091,0.9974306269270298
7,combined,0.0001,0.1296193368422985,0.96008,0.11257040156112387,0.965124591503268,0.25332065238194035,0.9207386363636364,371.50056179915555,0.9846153846153847,0.978494623655914,0.5487804878048781,0.8272727272727273,0.05454545454545454,0.9818181818181818,0.9458762886597938,0.7363636363636363,0.7439024390243902,0.6464646464646465,0.14545454545454545,0.9272727272727272,0.9974306269270298
8,combined,0.0001,0.1177372460180521,0.964,0.10031266139783696,0.9684946895424836,0.23348220546137202,0.9289772727272727,371.3593881758861,0.982051282051282,0.967741935483871,0.5609756097560976,0.8363636363636363,0.38181818181818183,1.0,0.9510309278350515,0.7454545454545455,0.8292682926829268,0.6464646464646465,0.14545454545454545,0.9272727272727272,0.9974306269270298
9,combined,0.0001,0.10583224632650613,0.96831,0.0892304244384267,0.9719158496732027,0.23114104988900097,0.9301136363636363,371.5799768869765,0.982051282051282,0.989247311827957,0.5975609756097561,0.8181818181818182,0.23636363636363636,1.0,0.9458762886597938,0.7818181818181819,0.8658536585365854,0.6767676767676768,0.14545454545454545,0.9272727272727272,0.9979445015416238
10,combined,0.0001,0.09832117124795914,0.96987,0.08153483678215469,0.9751327614379085,0.22013879445466128,0.9318181818181818,371.0639845910482,0.982051282051282,1.0,0.5975609756097561,0.8272727272727273,0.16363636363636364,1.0,0.961340206185567,0.8545454545454545,0.8536585365853658,0.6363636363636364,0.14545454545454545,0.9272727272727272,0.9974306269270298
