epoch,lr,train_loss,train_acc,synth_val_loss,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s
1,0.001,0.1443671171709034,0.9530593487394958,0.009895838293790834,0.9967790570175439,2.195721680467779,0.48409090909090907,947.454734785948
2,0.001,0.020861190594407213,0.9935187616713352,0.005865801670392612,0.9983209978070176,1.9918409889394586,0.522159090909091,938.2853724579327
3,0.001,0.011979459754808906,0.9962396416900093,0.004393789409509178,0.9987321820175439,2.0543325164101343,0.5088068181818182,939.2376831159927
4,0.0001,0.008290166695574098,0.9975307831465919,0.0041475112610230595,0.9990234375,2.026129557869651,0.5210227272727272,938.1189110369887
5,0.0001,0.005207098845064973,0.9984280170401494,0.0032579964449883335,0.9991262335526315,2.0868560227480804,0.5196022727272728,938.7260551659856
6,0.0001,0.004245077065544697,0.9988109827264239,0.003152242643694623,0.9992118969298246,2.018149731375954,0.5213068181818182,938.2399192140438
7,0.0001,0.004217278514041182,0.9987562733426704,0.0031597475683531485,0.9992118969298246,2.0420113910328257,0.5232954545454546,938.3357210210524
8,1e-05,0.004060359683577813,0.9988729866946778,0.003183057419968256,0.9992118969298246,2.1059468659487637,0.5144886363636364,938.0867193641607
9,1e-05,0.0037537968784621062,0.9989094596171803,0.003108928865679828,0.9991604989035088,2.123274751143022,0.5207386363636364,937.936719940044
10,1e-05,0.004000281397682482,0.9988985177404295,0.0031375766534926953,0.9991947642543859,2.059154521335255,0.5372159090909091,937.9415311540943
